PG%,SG%,SF%,PF%,C%,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Height,Weight,YearsPro,Season
3.0,83.0,14.0,0.0,0.0,27,78,39,24.9,3.2,6.8,0.46399999999999997,0.7,2.0,0.37200000000000005,2.4,4.8,0.503,0.519,0.8,0.9,0.861,0.4,2.0,2.4,1.8,1.1,0.3,1.1,1.8,7.8,11.7,0.545,0.294,0.136,1.9,9.4,5.8,2.4,0.9,13.0,15.7,0.9,2.4,3.3,0.08199999999999999,-1.8,1.2,-0.5,0.7,195.58,90.7184,5,2013
14.0,81.0,6.0,0.0,0.0,31,77,74,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.5329999999999999,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,12.2,0.5589999999999999,0.382,0.139,2.3,9.0,5.7,1.6,0.8,8.5,14.4,3.1,1.1,4.2,0.081,-0.7,-0.2,-0.9,0.7,195.58,90.7184,9,2017
0.0,31.0,60.0,9.0,0.0,33,80,80,34.9,5.6,12.8,0.435,1.5,4.2,0.359,4.1,8.6,0.47200000000000003,0.494,1.8,2.2,0.8009999999999999,0.7,4.1,4.8,3.7,0.7,0.2,1.7,1.5,14.4,14.1,0.523,0.32899999999999996,0.172,2.1,13.3,7.7,1.1,0.4,11.1,20.3,2.6,1.5,4.1,0.07,0.7,-0.8,-0.1,1.3,200.66,108.86208,14,2015
2.0,93.0,5.0,0.0,0.0,23,78,78,35.3,5.5,11.2,0.491,1.1,3.1,0.35200000000000004,4.4,8.0,0.545,0.54,1.8,2.5,0.711,1.2,5.9,7.2,4.6,0.7,0.1,2.7,2.5,13.8,14.7,0.564,0.28,0.226,4.1,18.1,11.4,1.0,0.2,18.0,19.4,2.6,4.8,7.4,0.13,0.4,1.0,1.3,2.3,195.58,104.32616,4,2014
0.0,0.0,13.0,77.0,10.0,27,76,76,35.3,7.2,15.6,0.465,0.8,2.6,0.303,6.4,12.9,0.498,0.491,2.2,4.2,0.517,1.8,6.7,8.4,4.2,1.2,1.8,3.0,2.3,17.5,17.7,0.501,0.17,0.272,5.8,21.3,13.6,1.8,3.9,14.6,26.7,-0.3,4.5,4.2,0.075,0.3,1.5,1.8,2.5,205.74,102.0582,9,2013
0.0,0.0,0.0,60.0,41.0,31,63,0,20.7,1.9,3.2,0.597,0.0,0.0,0.0,1.9,3.2,0.6,0.597,0.7,1.0,0.71,1.9,2.5,4.3,1.3,0.5,0.4,1.0,2.4,4.5,12.1,0.622,0.005,0.308,11.1,12.7,12.0,1.3,1.6,21.1,10.0,2.3,1.2,3.5,0.13,-0.5,0.7,0.2,0.7,208.28,115.66596,9,2012
0.0,22.0,72.0,6.0,0.0,33,56,13,25.3,3.8,9.6,0.39399999999999996,1.8,4.4,0.39399999999999996,2.1,5.2,0.395,0.485,1.1,1.3,0.84,0.4,3.7,4.1,1.5,0.8,0.3,1.1,2.1,10.5,12.2,0.512,0.461,0.139,1.7,16.8,9.2,1.7,1.0,9.5,20.1,0.6,1.2,1.8,0.062,-0.6,-0.8,-1.4,0.2,200.66,103.418976,12,2014
45.0,55.0,1.0,0.0,0.0,24,55,0,15.1,2.1,5.3,0.401,0.7,2.3,0.315,1.4,3.0,0.467,0.469,0.5,0.6,0.8059999999999999,0.1,1.3,1.4,2.8,0.5,0.0,0.9,0.6,5.4,13.2,0.489,0.435,0.106,1.1,9.5,5.4,1.8,0.2,13.8,19.5,0.5,0.8,1.3,0.075,-0.7,-1.0,-1.7,0.1,190.5,93.893544,4,2015
0.0,0.0,0.0,98.0,2.0,25,70,29,21.9,4.1,8.8,0.465,0.0,0.0,0.0,4.1,8.7,0.466,0.465,2.8,3.6,0.779,2.1,3.2,5.2,0.6,0.5,0.2,1.1,2.3,11.0,16.4,0.529,0.003,0.413,10.6,15.9,13.2,1.2,0.7,9.5,23.1,2.2,1.6,3.8,0.11800000000000001,-0.6,-1.3,-1.9,0.0,205.74,113.398,2,2011
0.0,52.0,48.0,0.0,0.0,32,2,0,32.0,4.0,8.5,0.47100000000000003,2.5,4.5,0.556,1.5,4.0,0.375,0.618,1.5,1.5,1.0,0.5,2.5,3.0,3.5,1.5,1.5,1.5,1.5,12.0,16.3,0.655,0.529,0.17600000000000002,1.7,8.3,5.0,2.2,3.8,14.1,14.1,0.1,0.1,0.2,0.157,1.7,2.5,4.3,0.1,190.5,86.18248,1,2018
