,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,AJ Price,187.96,88.45044,1,1,5,2,52,2014
1,Aaron Brooks,182.88,73.028312,1,1,7,1,26,2014
2,Aaron Gray,213.36,122.46984,1,1,7,2,49,2014
3,Adonis Thomas,200.66,108.86208,1,1,1,Undrafted,Undrafted,2014
4,Al Harrington,205.74,111.13004,0,1,16,1,25,2014
5,Al Horford,208.28,113.398,1,0,7,1,3,2014
6,Al Jefferson,208.28,131.088088,0,1,10,1,15,2014
7,Al-Farouq Aminu,205.74,97.52228,1,1,4,1,8,2014
8,Alan Anderson,198.12,99.79024,1,1,3,Undrafted,Undrafted,2014
9,Alec Burks,198.12,95.707912,1,1,3,1,12,2014
10,Alex Len,215.9,115.66596,1,0,1,1,5,2014
11,Alexey Shved,198.12,84.821704,0,0,2,Undrafted,Undrafted,2014
12,Alexis Ajinca,218.44,112.490816,0,0,6,1,20,2014
13,Allen Crabbe,198.12,95.25431999999999,1,1,1,2,31,2014
14,Alonzo Gee,198.12,102.0582,1,1,5,Undrafted,Undrafted,2014
15,Amar'e Stoudemire,210.82,111.13004,0,1,12,1,9,2014
16,Amir Johnson,205.74,95.25431999999999,0,1,9,2,56,2014
17,Anderson Varejao,210.82,121.109064,0,0,10,2,30,2014
18,Andray Blatche,210.82,117.93392,0,1,9,2,49,2014
19,Andre Drummond,208.28,122.46984,1,1,2,1,9,2014
20,Andre Iguodala,198.12,93.893544,1,1,10,1,9,2014
21,Andre Miller,187.96,90.7184,1,1,15,1,8,2014
22,Andre Roberson,200.66,95.25431999999999,1,1,1,1,26,2014
23,Andrea Bargnani,213.36,113.398,0,0,8,1,1,2014
24,Andrei Kirilenko,205.74,106.59412,0,0,15,1,24,2014
25,Andrew Bogut,213.36,117.93392,1,0,9,1,1,2014
26,Andrew Bynum,213.36,129.27372,0,1,9,1,10,2014
27,Andrew Nicholson,205.74,113.398,1,0,2,1,19,2014
28,Andris Biedrins,213.36,113.398,0,0,10,1,11,2014
29,Antawn Jamison,205.74,106.59412,1,1,16,1,4,2014
30,Anthony Bennett,203.2,117.480328,1,0,1,1,1,2014
31,Anthony Davis,208.28,99.79024,1,1,2,1,1,2014
32,Anthony Morrow,195.58,95.25431999999999,1,1,6,Undrafted,Undrafted,2014
33,Anthony Randolph,210.82,102.0582,1,1,6,1,14,2014
34,Anthony Tolliver,203.2,108.86208,1,1,6,Undrafted,Undrafted,2014
35,Archie Goodwin,195.58,89.811216,1,1,1,1,29,2014
36,Arinze Onuaku,205.74,124.7378,1,1,1,Undrafted,Undrafted,2014
37,Arnett Moultrie,208.28,108.86208,1,1,2,1,27,2014
38,Aron Baynes,208.28,117.93392,1,0,2,Undrafted,Undrafted,2014
39,Arron Afflalo,195.58,97.52228,1,1,7,1,27,2014
40,Austin Daye,210.82,90.7184,1,1,5,1,15,2014
41,Austin Rivers,193.04,90.7184,1,1,2,1,10,2014
42,Avery Bradley,187.96,81.64656,1,1,4,1,19,2014
43,Ben Gordon,190.5,90.7184,1,1,10,1,3,2014
44,Ben McLemore,195.58,88.45044,1,1,1,1,7,2014
45,Beno Udrih,190.5,95.25431999999999,0,0,10,1,28,2014
46,Bernard James,208.28,108.86208,1,1,2,2,33,2014
47,Bismack Biyombo,205.74,111.13004,0,0,3,1,7,2014
48,Blake Griffin,208.28,113.851592,1,1,5,1,1,2014
49,Boris Diaw,203.2,113.398,0,0,11,1,21,2014
50,Bradley Beal,195.58,93.893544,1,1,2,1,3,2014
51,Brandan Wright,208.28,95.25431999999999,1,1,7,1,8,2014
52,Brandon Bass,203.2,113.398,1,1,9,2,33,2014
53,Brandon Davies,208.28,108.86208,1,1,1,Undrafted,Undrafted,2014
54,Brandon Jennings,185.42,76.657048,0,1,5,1,10,2014
55,Brandon Knight,190.5,85.728888,1,1,3,1,8,2014
56,Brandon Rush,198.12,105.68693600000002,1,1,6,1,13,2014
57,Brian Roberts,185.42,78.471416,1,1,2,Undrafted,Undrafted,2014
58,Brook Lopez,213.36,124.7378,1,1,6,1,10,2014
59,Byron Mullens,213.36,124.7378,1,1,5,1,24,2014
60,C.J. Watson,187.96,79.3786,1,1,7,Undrafted,Undrafted,2014
61,CJ McCollum,193.04,90.7184,1,1,1,1,10,2014
62,CJ Miles,198.12,104.779752,0,1,9,2,34,2014
63,Carl Landry,205.74,112.490816,1,1,7,2,31,2014
64,Carlos Boozer,205.74,120.655472,1,1,12,2,34,2014
65,Carmelo Anthony,203.2,106.59412,1,1,11,1,3,2014
66,Caron Butler,200.66,103.418976,1,1,12,1,10,2014
67,Carrick Felix,198.12,91.171992,1,1,1,2,33,2014
68,Cartier Martin,200.66,99.79024,1,1,6,Undrafted,Undrafted,2014
69,Casper Ware,177.8,79.3786,1,1,1,Undrafted,Undrafted,2014
70,Chandler Parsons,205.74,102.965384,1,1,3,2,38,2014
71,Channing Frye,210.82,111.13004,1,1,9,1,8,2014
72,Charlie Villanueva,210.82,105.233344,1,1,9,1,7,2014
73,Chase Budinger,200.66,94.800728,1,1,5,2,44,2014
74,Chauncey Billups,190.5,95.25431999999999,1,1,17,1,3,2014
75,Chris Andersen,208.28,111.13004,1,1,7,Undrafted,Undrafted,2014
76,Chris Babb,195.58,102.0582,1,1,1,Undrafted,Undrafted,2014
77,Chris Bosh,210.82,106.59412,1,1,11,1,4,2014
78,Chris Copeland,203.2,106.59412,1,1,2,Undrafted,Undrafted,2014
79,Chris Douglas-Roberts,200.66,95.25431999999999,1,1,6,2,40,2014
80,Chris Johnson,198.12,91.171992,1,1,4,Undrafted,Undrafted,2014
81,Chris Kaman,213.36,120.20188,1,1,11,1,6,2014
82,Chris Paul,182.88,79.3786,1,1,9,1,4,2014
83,Chris Singleton,205.74,103.418976,1,1,3,1,18,2014
84,Chris Smith,187.96,90.7184,1,1,1,Undrafted,Undrafted,2014
85,Chris Wright,205.74,102.511792,1,1,3,Undrafted,Undrafted,2014
86,Chuck Hayes,198.12,113.398,1,1,9,Undrafted,Undrafted,2014
87,Cody Zeller,213.36,108.86208,1,1,1,1,4,2014
88,Cole Aldrich,210.82,111.13004,1,1,4,1,11,2014
89,Corey Brewer,205.74,83.91452,1,1,7,1,7,2014
90,Cory Joseph,190.5,86.18248,1,0,3,1,29,2014
91,Courtney Lee,195.58,90.7184,1,1,6,1,22,2014
92,D.J. Augustin,182.88,83.007336,1,1,6,1,9,2014
93,DJ Stephens,195.58,85.275296,1,1,1,Undrafted,Undrafted,2014
94,DJ White,205.74,113.398,1,1,6,1,29,2014
95,Damian Lillard,190.5,88.45044,1,1,2,1,6,2014
96,Damion James,200.66,102.0582,1,1,4,1,24,2014
97,Daniel Orton,208.28,124.7378,1,1,4,1,29,2014
98,Danny Granger,205.74,103.418976,1,1,9,1,17,2014
99,Danny Green,198.12,97.52228,1,1,5,2,46,2014
100,Dante Cunningham,203.2,100.243832,1,1,5,2,33,2014
101,Darius Johnson-Odom,187.96,97.52228,1,1,2,2,55,2014
102,Darius Miller,203.2,102.0582,1,1,2,2,46,2014
103,Darius Morris,193.04,88.45044,1,1,3,2,41,2014
104,Darrell Arthur,205.74,106.59412,1,1,6,1,27,2014
105,Darren Collison,182.88,79.3786,1,1,5,1,21,2014
106,David Lee,205.74,108.86208,1,1,9,1,30,2014
107,David West,205.74,113.398,1,1,11,1,18,2014
108,DeAndre Jordan,210.82,120.20188,1,1,6,2,35,2014
109,DeAndre Liggins,198.12,94.800728,1,1,3,2,53,2014
110,DeJuan Blair,200.66,122.46984,1,1,5,2,37,2014
111,DeMar DeRozan,200.66,97.975872,1,1,5,1,9,2014
112,DeMarcus Cousins,210.82,122.46984,1,1,4,1,5,2014
113,DeMarre Carroll,203.2,96.161504,1,1,5,1,27,2014
114,Dennis Schroder,185.42,76.203456,0,0,1,1,17,2014
115,Derek Fisher,185.42,95.25431999999999,1,1,18,1,24,2014
116,Deron Williams,190.5,94.800728,1,1,9,1,3,2014
117,Derrick Favors,208.28,121.562656,1,1,4,1,3,2014
118,Derrick Rose,190.5,86.18248,1,1,6,1,1,2014
119,Derrick Williams,203.2,108.86208,1,1,3,1,2,2014
120,Devin Harris,190.5,87.089664,1,1,10,1,5,2014
121,Dewayne Dedmon,213.36,115.66596,1,1,1,Undrafted,Undrafted,2014
122,Dexter Pittman,210.82,129.27372,1,1,4,2,32,2014
123,Diante Garrett,193.04,86.18248,1,1,2,Undrafted,Undrafted,2014
124,Dion Waiters,193.04,102.0582,1,1,2,1,4,2014
125,Dionte Christmas,195.58,92.98636,1,1,1,Undrafted,Undrafted,2014
126,Dirk Nowitzki,213.36,111.13004,0,0,16,1,9,2014
127,Donald Sloan,190.5,92.98636,1,1,3,Undrafted,Undrafted,2014
128,Donatas Motiejunas,213.36,100.697424,0,0,3,1,20,2014
129,Dorell Wright,205.74,92.98636,0,1,10,1,19,2014
130,Doron Lamb,193.04,90.7184,1,1,2,2,42,2014
131,Draymond Green,200.66,104.32616,1,1,2,2,35,2014
132,Drew Gooden,208.28,113.398,1,1,12,1,4,2014
133,Dwight Buycks,190.5,86.18248,1,1,1,Undrafted,Undrafted,2014
134,Dwight Howard,210.82,120.20188,0,1,10,1,1,2014
135,Dwyane Wade,193.04,99.79024,1,1,11,1,5,2014
136,E'Twaun Moore,193.04,86.636072,1,1,3,2,55,2014
137,Earl Clark,208.28,106.140528,1,1,5,1,14,2014
138,Earl Watson,185.42,90.264808,1,1,13,2,39,2014
139,Ed Davis,208.28,102.0582,1,1,4,1,13,2014
140,Ekpe Udoh,208.28,111.13004,1,1,4,1,6,2014
