,Unnamed: 0,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
0,0,Aaron Gordon,205.74,99.79024,1,1,5,1,4,2019
1,1,Aaron Holiday,185.42,83.91452,1,1,1,1,23,2019
2,2,Abdel Nader,198.12,102.0582,1,0,3,2,58,2019
3,3,Al Horford,208.28,111.13004,1,0,12,1,3,2019
4,4,Al-Farouq Aminu,205.74,99.79024,1,1,9,1,8,2019
5,5,Alan Williams,203.2,120.20188,1,1,4,Undrafted,Undrafted,2019
6,6,Alec Burks,198.12,97.068688,1,1,8,1,12,2019
7,7,Alex Abrines,198.12,90.7184,0,0,6,2,32,2019
8,8,Alex Caruso,195.58,84.368112,1,1,2,Undrafted,Undrafted,2019
9,9,Alex Len,215.9,113.398,1,0,6,1,5,2019
10,10,Alex Poythress,205.74,106.59411999999999,1,1,3,Undrafted,Undrafted,2019
11,11,Alfonzo McKinnie,203.2,97.52228000000001,0,1,2,Undrafted,Undrafted,2019
12,12,Alize Johnson,205.74,96.16150400000001,1,1,1,2,50,2019
13,13,Allen Crabbe,198.12,96.16150400000001,1,1,6,2,31,2019
14,14,Allonzo Trier,195.58,90.7184,1,1,1,Undrafted,Undrafted,2019
15,15,Amile Jefferson,205.74,100.697424,1,1,1,Undrafted,Undrafted,2019
16,16,Amir Johnson,205.74,108.86208,0,1,14,2,56,2019
17,17,Andre Drummond,210.82,126.552168,1,1,7,1,9,2019
18,18,Andre Iguodala,198.12,97.52228000000001,1,1,15,1,9,2019
19,19,Andre Ingram,190.5,86.18248,1,1,2,Undrafted,Undrafted,2019
20,20,Andrew Bogut,213.36,117.93392,1,0,14,1,1,2019
21,21,Andrew Harrison,198.12,96.615096,1,1,4,2,44,2019
22,22,Andrew Wiggins,203.2,87.996848,1,0,5,1,1,2019
23,23,Anfernee Simons,193.04,83.91452,0,1,1,1,24,2019
24,24,Angel Delgado,208.28,111.13004,0,0,1,Undrafted,Undrafted,2019
25,25,Ante Zizic,210.82,115.212368,0,0,3,1,23,2019
26,26,Anthony Davis,208.28,114.758776,1,1,7,1,1,2019
27,27,Anthony Tolliver,203.2,113.398,1,1,11,Undrafted,Undrafted,2019
28,28,Antonio Blakeney,193.04,87.089664,1,1,2,Undrafted,Undrafted,2019
29,29,Aron Baynes,208.28,117.93392,1,0,7,Undrafted,Undrafted,2019
30,30,Austin Rivers,193.04,90.7184,1,1,7,1,10,2019
31,31,Avery Bradley,187.96,81.64656,1,1,9,1,19,2019
32,32,BJ Johnson,200.66,90.7184,0,1,1,Undrafted,Undrafted,2019
33,33,Bam Adebayo,208.28,115.66596000000001,1,1,2,1,14,2019
34,34,Ben McLemore,195.58,91.171992,1,1,6,1,7,2019
35,35,Ben Simmons,208.28,104.32616,1,0,3,1,1,2019
36,36,Billy Garrett,198.12,97.52228000000001,1,1,1,Undrafted,Undrafted,2019
37,37,Bismack Biyombo,205.74,115.66596000000001,0,0,8,1,7,2019
38,38,Blake Griffin,208.28,113.398,1,1,10,1,1,2019
39,39,Boban Marjanovic,220.98,131.54168,0,0,4,Undrafted,Undrafted,2019
40,40,Bobby Portis,210.82,113.398,1,1,4,1,22,2019
41,41,Bogdan Bogdanovic,198.12,92.98635999999999,0,0,5,1,27,2019
42,42,Bojan Bogdanovic,203.2,97.975872,0,0,8,2,31,2019
43,43,Bonzie Colson,198.12,102.0582,1,1,1,Undrafted,Undrafted,2019
44,44,Brad Wanamaker,193.04,95.25432,1,1,1,Undrafted,Undrafted,2019
45,45,Bradley Beal,195.58,93.89354399999999,1,1,7,1,3,2019
46,46,Brandon Goodwin,187.96,81.64656,0,1,1,Undrafted,Undrafted,2019
47,47,Brandon Ingram,205.74,86.18248,1,1,3,1,2,2019
48,48,Brandon Knight,190.5,88.45044,1,1,8,1,8,2019
49,49,Brandon Sampson,195.58,83.46092800000002,0,1,1,Undrafted,Undrafted,2019
50,50,Brook Lopez,213.36,122.46983999999999,1,1,11,1,10,2019
51,51,Bruce Brown,195.58,91.625584,1,1,1,2,42,2019
52,52,Bruno Caboclo,205.74,98.88305600000001,0,0,5,1,20,2019
53,53,Bryn Forbes,190.5,86.18248,1,1,3,Undrafted,Undrafted,2019
54,54,Buddy Hield,193.04,97.068688,1,0,3,1,6,2019
55,55,CJ Williams,195.58,102.511792,1,1,2,Undrafted,Undrafted,2019
56,56,CJ McCollum,190.5,86.18248,1,1,6,1,10,2019
57,57,CJ Miles,198.12,99.79024,0,1,14,2,34,2019
58,58,Caleb Swanigan,205.74,113.398,1,1,2,1,26,2019
59,59,Cameron Payne,190.5,86.18248,1,1,4,1,14,2019
60,60,Cameron Reynolds,203.2,102.0582,0,1,1,Undrafted,Undrafted,2019
61,61,Caris LeVert,200.66,92.532768,1,1,3,1,20,2019
62,62,Carmelo Anthony,203.2,108.86208,1,1,16,1,3,2019
63,63,Cedi Osman,203.2,97.52228000000001,0,0,4,2,31,2019
64,64,Chandler Hutchison,200.66,89.357624,1,1,1,1,22,2019
65,65,Chandler Parsons,208.28,104.32616,1,1,8,2,38,2019
66,66,Channing Frye,213.36,115.66596000000001,1,1,14,1,8,2019
67,67,Chasson Randle,187.96,83.91452,1,1,1,Undrafted,Undrafted,2019
68,68,Cheick Diallo,205.74,99.79024,1,0,3,2,33,2019
69,69,Chimezie Metu,208.28,102.0582,1,1,1,2,49,2019
70,70,Chris Boucher,208.28,90.7184,1,0,2,Undrafted,Undrafted,2019
71,71,Chris Chiozza,182.88,79.3786,0,1,1,Undrafted,Undrafted,2019
72,72,Chris Paul,182.88,79.3786,1,1,14,1,4,2019
73,73,Christian Wood,208.28,97.068688,1,1,1,Undrafted,Undrafted,2019
74,74,Clint Capela,208.28,108.86208,0,0,5,1,25,2019
75,75,Cody Zeller,213.36,108.86208,1,1,6,1,4,2019
76,76,Collin Sexton,187.96,86.18248,1,1,1,1,8,2019
77,77,Corey Brewer,205.74,84.368112,1,1,12,1,7,2019
