,Player,Team,Salary
0,Kobe Bryant,Los Angeles Lakers,24806250
1,Rashard Lewis,Washington Wizards,19573711
2,Tim Duncan,San Antonio Spurs,18835381
3,Kevin Garnett,Boston Celtics,18832044
4,Michael Redd,Milwaukee Bucks,18300000
5,Pau Gasol,Los Angeles Lakers,17823000
6,Andrei Kirilenko,Utah Jazz,17823000
7,Gilbert Arenas,Washington Wizards,17730694
8,Yao Ming,Houston Rockets,17686100
9,Zach Randolp,Memphis Grizzlies,17666666
10,Vince Carte,Phoenix Suns,17522375
11,Dirk Nowitzk,Dallas Mavericks,17278618
12,Carmelo Anthony,New York Knicks,17149243
13,Dwight Howard,Orlando Magic,16647180
14,Kenyon Martin,Denver Nuggets,16545454
15,Amar'e Stoudemire,New York Knicks,16486611
16,Joe Johnso,Atlanta Hawks,16324500
17,Elton Brand,Philadelphia 76ers,15959099
18,Chris Paul,New Orleans Hornets,14940153
19,Deron Williams,Utah Jazz,14940153
20,Chris Bosh,Miami Heat,14500000
21,LeBron James,Miami Heat,14500000
22,Jason Richardson,Phoenix Suns,14444443
23,Carlos Boozer,Chicago Bulls,14400000
24,Dwyane Wad,Miami Heat,14200000
25,Baron Davis,LA Clippers,14000000
26,Paul Pierce,Boston Celtics,13876321
27,Andrew Bynum,Los Angeles Lakers,13700000
28,Rudy Gay,Memphis Grizzlies,13603750
29,Brandon Roy,Portland Trail Blazers,13603750
30,Tony Parke,San Antonio Spurs,13500000
31,Samuel Dalembert,Sacramento Kings,13428129
32,Antawn Jamison,Cleveland Cavaliers,13358905
33,Nick Colliso,Oklahoma City Thunder,13270000
34,Chauncey Billups,New York Knicks,13150000
35,Al Jefferson,Utah Jazz,13000000
36,Tyson Chandler,Dallas Mavericks,12600000
37,Richard Hamilton,Detroit Pistons,12500000
38,Andre Iguodala,Philadelphia 76ers,12345250
39,Manu Ginobil,San Antonio Spurs,11854584
120,Chris Kaman,LA Clippers,11800000
121,Marcus Camby,Portland Trail Blazers,11749832
122,Josh Smith,Atlanta Hawks,11700000
123,Eddy Curry,Dallas Mavericks,11530592
124,Emeka Okafor,New Orleans Hornets,11495000
125,Nene Hilario,Denver Nuggets,11360000
126,Luol Den,Chicago Bulls,11345000
127,LaMarcus Aldridge,Portland Trail Blazers,11244000
128,Tayshaun Prince,Detroit Pistons,11148760
129,Monta Ellis,Golden State Warriors,11000000
130,Andrew Bogut,Milwaukee Bucks,11000000
131,Danny Granger,Indiana Pacers,10973202
132,David Lee,Golden State Warriors,10800000
133,Jamal Crawford,Atlanta Hawks,10800000
134,Ben Gordon,Detroit Pistons,10800000
135,Kevin Martin,Houston Rockets,10600005
136,Mike Dunleavy,Indiana Pacers,10561984
137,Caron Butler,Dallas Mavericks,10561960
138,Gerald Wallace,Charlotte Bobcats,10500000
139,Steve Nash,Phoenix Suns,10310938
140,Hedo Turkoglu,Phoenix Suns,10215850
141,Ray Allen,Boston Celtics,10000000
142,Mehmet Okur,Utah Jazz,9945000
143,Jason Terr,Dallas Mavericks,9873000
144,Corey Maggette,Milwaukee Bucks,9600000
145,Cuttino Mobley,LA Clippers,9500000
146,Mo Williams,LA Clippers,9300000
147,Kirk Hinrich,Washington Wizards,9100000
148,Rajon Rondo,Boston Celtics,9090911
149,Andris Biedrins,Golden State Warriors,9000000
150,Boris Diaw,Charlotte Bobcats,9000000
151,Jose Caldero,Toronto Raptors,9000000
152,Devin Harri,Utah Jazz,8981000
153,Jason Kidd,Dallas Mavericks,8610500
154,Andrea Bargnani,Toronto Raptors,8500000
155,T.J. Ford,Indiana Pacers,8500000
156,Stephen Jackson,Charlotte Bobcats,8453250
157,Richard Jefferso,San Antonio Spurs,8400000
158,David Wes,New Orleans Hornets,8287500
159,Lamar Odom,Los Angeles Lakers,8200000
160,John Salmons,Milwaukee Bucks,8000000
161,Mark Blount,Miami Heat,7967375
162,Jameer Nelso,Orlando Magic,7800000
163,Luis Scol,Houston Rockets,7775378
164,Joel Przybilla,Charlotte Bobcats,7725470
165,Paul Millsap,Utah Jazz,7600000
166,Shane Battier,Memphis Grizzlies,7354500
167,Anderson Varejao,Cleveland Cavaliers,7281818
168,Andre Miller,Portland Trail Blazers,7269264
169,Marvin Williams,Atlanta Hawks,7262500
170,JJ Redick,Orlando Magic,7250000
171,Dan Gadzuric,New Jersey Nets,7248325
172,James Posey,Indiana Pacers,7148800
173,Leandro Barbos,Toronto Raptors,7100000
174,Marko Jaric,Brooklyn Nets,7100000
175,Shawn Marion,Dallas Mavericks,7055500
176,Charlie Villanueva,Detroit Pistons,7020000
177,Raymond Felto,New York Knicks,7000000
178,Travis Outlaw,New Jersey Nets,7000000
179,Brendan Haywood,Dallas Mavericks,6900000
180,Nazr Mohammed,Charlotte Bobcats,6883800
181,Vladimir Radmanovic,Golden State Warriors,6883800
182,Andres Nocioni,Philadelphia 76ers,6850000
183,Greg Oden,Miami Heat,6760524
184,JR Smith,Denver Nuggets,6757851
185,Kendrick Perkins,Oklahoma City Thunder,6696720
186,Morris Peterson,Oklahoma City Thunder,6665000
187,Jeff Foster,Indiana Pacers,6655000
188,Jason Kapono,Philadelphia 76ers,6641440
189,Tyrus Thomas,Charlotte Bobcats,6611570
190,Jerome James,Chicago Bulls,6600000
191,Josh Childres,Phoenix Suns,6500000
192,Beno Udrih,Sacramento Kings,6478600
193,DeSagana Diop,Charlotte Bobcats,6478600
194,Mike James,Chicago Bulls,6466600
195,Trevor Ariza,New Orleans Hornets,6322320
