,Player,Salary,Salary(*),Salary(%)
0,LeBron James,30963450,32906550,32.88980593352665
1,Al Horford,26540100,28205614,28.191262228737134
2,Kevin Durant,26540100,28205614,28.191262228737134
3,James Harden,26540100,28205614,28.191262228737134
4,Mike Conley,26540100,28205614,28.191262228737134
5,Russell Westbrook,26540100,28205614,28.191262228737134
6,DeMar DeRozan,26540100,28205614,28.191262228737134
7,Dirk Nowitzki,25000000,26568866,26.555346653495214
8,Carmelo Anthony,24559380,26100595,26.087313979796694
9,Damian Lillard,24328425,25855146,25.841990376342373
10,Chris Bosh,23741060,25230921,25.218083128857167
11,Dwight Howard,23500000,24974734,24.962025854285503
12,Dwyane Wade,23200000,24655907,24.64336169444356
13,Chris Paul,22868827,24303952,24.29158514175244
14,Harrison Barnes,22116750,23504678,23.492718523947612
15,Andre Drummond,22116750,23504678,23.492718523947612
16,Chandler Parsons,22116750,23504678,23.492718523947612
17,Hassan Whiteside,22116750,23504678,23.492718523947612
18,Anthony Davis,22116750,23504678,23.492718523947612
19,Bradley Beal,22116750,23504678,23.492718523947612
20,Derrick Rose,21323252,22661385,22.649853945593406
21,Brook Lopez,21165675,22493919,22.482473471208696
22,Kevin Love,21165675,22493919,22.482473471208696
23,DeAndre Jordan,21165675,22493919,22.482473471208696
24,Marc Gasol,21165675,22493919,22.482473471208696
25,Nicolas Batum,20869566,22179228,22.1679423855199
26,LaMarcus Aldridge,20575005,21866182,21.855055606895892
27,Blake Griffin,20093064,21353997,21.343131194034605
28,Paul Millsap,20072033,21331646,21.32079177421582
29,Ryan Anderson,18735364,19911095,19.90096342797659
30,Allen Crabbe,18500000,19660961,19.65095652358646
31,Paul George,18100000,19235859,19.226070977130536
32,Luol Deng,18000000,19129583,19.119849590516555
33,Kyrie Irving,17638063,18744933,18.73539509044751
34,Kawhi Leonard,17638063,18744933,18.73539509044751
35,Jimmy Butler,17552209,18653691,18.644199781183943
36,Tobias Harris,17200000,18279379,18.270078497604707
37,Wesley Matthews,17145838,18221819,18.212546870186845
38,Greg Monroe,17145838,18221819,18.212546870186845
39,Enes Kanter,17145838,18221819,18.212546870186845
40,Joakim Noah,17000000,18066829,18.05763572437675
41,Evan Fournier,17000000,18066829,18.05763572437675
42,Bismack Biyombo,17000000,18066829,18.05763572437675
43,Klay Thompson,16663575,17709291,17.70028042446066
44,Evan Turner,16393443,17422207,17.413342468372583
45,Gordon Hayward,16073140,17081804,17.0731121804064
46,Timofey Mozgov,16000000,17004074,16.995421858236938
47,Ian Mahinmi,16000000,17004074,16.995421858236938
48,Goran Dragic,15891725,16889004,16.880410651880652
49,DeMarcus Cousins,15756438,16745227,16.736706924572193
50,John Wall,15756438,16745227,16.736706924572193
51,Kent Bazemore,15730337,16717488,16.708982080452078
52,Pau Gasol,15500000,16472697,16.464314925167034
53,Tristan Thompson,15330435,16292491,16.284200630955038
54,Draymond Green,15330435,16292491,16.284200630955038
55,Khris Middleton,15200000,16153870,16.14565076532509
56,Danilo Gallinari,15050000,15994457,15.986318685404118
57,Jeff Green,15000000,15941319,15.93320799209713
58,Reggie Jackson,14956522,15895113,15.8870250576251
59,Deron Williams,14885520,15819654,15.811605748701444
60,Tony Parker,14445313,15351823,15.344011769329638
61,Jonas Valanciunas,14382023,15284561,15.27678425374165
62,DeMarre Carroll,14200000,15091116,15.083436899185282
63,Rajon Rondo,14000000,14878565,14.87099412595732
64,Eric Bledsoe,14000000,14878565,14.87099412595732
65,Manu Ginobili,14000000,14878565,14.87099412595732
66,Ricky Rubio,13400000,14240912,14.233665806273436
67,Rudy Gay,13333333,14170061,14.162851194459492
68,Jamal Crawford,13253012,14084700,14.077533114517276
69,Robin Lopez,13219250,14048819,14.041670649968665
70,Michael Kidd-Gilchrist,13000000,13815810,13.808780259817514
71,JR Smith,12800000,13603259,13.59633748658955
72,Brandon Knight,12606250,13397350,13.390533550024964
73,Jordan Clarkson,12500000,13284433,13.277673326747607
74,Arron Afflalo,12500000,13284433,13.277673326747607
75,Tyson Chandler,12415000,13194098,13.187385148125724
76,Miles Plumlee,12400000,13178157,13.171451940133627
77,Eric Gordon,12385665,13162923,13.156225104362512
78,John Henson,12267606,13037455,13.030821197539913
79,Marvin Williams,12250000,13018744,13.012119860212657
80,Serge Ibaka,12250000,13018744,13.012119860212657
81,Stephen Curry,12112359,12872465,12.865915681463305
82,Nikola Pekovic,12100000,12859331,12.852787780291683
83,Kenneth Faried,12078652,12836643,12.83011163867733
84,Thaddeus Young,12078652,12836643,12.83011163867733
85,Amir Johnson,12000000,12753055,12.746566393677702
86,Kemba Walker,12000000,12753055,12.746566393677702
87,Kyle Lowry,12000000,12753055,12.746566393677702
88,Marcin Gortat,12000000,12753055,12.746566393677702
89,Nikola Vucevic,11750000,12487367,12.481012927142752
90,Solomon Hill,11709603,12444435,12.4381026735923
91,Jeremy Lin,11483254,12203881,12.197671627205422
92,Andrew Bogut,11410378,12126432,12.120261729496617
93,Courtney Lee,11242000,11947487,11.941408283143728
94,Wilson Chandler,11233146,11938078,11.932003441572926
95,Andre Iguodala,11131368,11829913,11.82389343870495
