,Player,Team,Salary
0,Kobe Bryant,Los Angeles Lakers,15978124.164048394
1,Dirk Nowitzki,Dallas Mavericks,7530631.955213011
2,Amar'e Stoudemire,New York Knicks,6856084.72094275
3,Joe Johnson,Brooklyn Nets,6721917.588312746
4,Carmelo Anthony,New York Knicks,6513829.110967697
5,Pau Gasol,Los Angeles Lakers,6407966.546456137
6,Chris Bosh,Miami Heat,6263688.861036455
7,LeBron James,Miami Heat,6263688.861036455
8,Dwyane Wade,Miami Heat,6007182.981875818
9,Chris Paul,LA Clippers,6004243.608327493
10,Kevin Durant,Oklahoma City Thunder,5478646.372680657
11,Derrick Rose,Chicago Bulls,5356482.77350534
12,Deron Williams,Brooklyn Nets,5083671.715629953
13,Andrew Bynum,Philadelphia 76ers,4914174.092068086
14,Paul Pierce,Boston Celtics,4856930.694284077
15,Zach Randolph,Memphis Grizzlies,4690407.277237957
16,Rudy Gay,Memphis Grizzlies,4667998.608804424
17,Carlos Boozer,Chicago Bulls,4032974.984494521
18,Andre Iguodala,Denver Nuggets,3859977.052968438
19,Russell Westbrook,Oklahoma City Thunder,3719779.3662882643
20,Emeka Okafor,Washington Wizards,3616009.5143339536
21,Luol Deng,Chicago Bulls,3510709.547929157
22,Manu Ginobili,San Antonio Spurs,3428801.091069947
23,Marc Gasol,Memphis Grizzlies,3324544.395060316
24,Blake Griffin,LA Clippers,3234171.5175125767
25,Brook Lopez,Brooklyn Nets,3218846.50545276
26,Eric Gordon,New Orleans Hornets,3218846.50545276
27,Roy Hibbert,Indiana Pacers,3218846.50545276
28,Kevin Love,Minnesota Timberwolves,3218846.50545276
29,Tyson Chandler,New York Knicks,3188510.97683385
30,LaMarcus Aldridge,Portland Trail Blazers,3139859.4169940045
31,Al Jefferson,Utah Jazz,3139859.4169940045
32,Ben Gordon,Charlotte Bobcats,3001860.6574322926
33,Josh Smith,Atlanta Hawks,3001860.6574322926
34,Danny Granger,Indiana Pacers,2937895.2288477016
35,Andrew Bogut,Golden State Warriors,2911584.315346978
36,Nene Hilario,Washington Wizards,2911584.315346978
37,David Lee,Golden State Warriors,2798041.761422369
38,Tony Parker,San Antonio Spurs,2691923.368479085
39,Kevin Martin,Oklahoma City Thunder,2666003.6197647476
120,Serge Ibaka,Oklahoma City Thunder,2627704.8446006477
121,Al Horford,Atlanta Hawks,2480876.5763903246
122,Kris Humphries,Brooklyn Nets,2480876.5763903246
123,Hedo Turkoglu,Orlando Magic,2480876.5763903246
124,Kevin Garnett,Boston Celtics,2304777.169909465
125,Joakim Noah,Chicago Bulls,2122700.0206739716
126,Jose Calderon,Toronto Raptors,2102321.906162239
127,Rajon Rondo,Boston Celtics,2084625.4565502033
128,Monta Ellis,Milwaukee Bucks,2084625.4565502033
129,DeAndre Jordan,LA Clippers,2079530.716396182
130,Corey Maggette,Detroit Pistons,2055971.1777796843
131,Mehmet Okur,Brooklyn Nets,2043141.4099648544
132,Nicolas Batum,Portland Trail Blazers,2028159.671972986
133,Richard Jefferson,Golden State Warriors,1779803.1837916065
134,Stephen Jackson,San Antonio Spurs,1743480.2918906347
135,Andrea Bargnani,Toronto Raptors,1722830.955826614
136,JaVale McGee,Denver Nuggets,1722830.955826614
137,David West,Indiana Pacers,1722830.955826614
138,Andrei Kirilenko,Minnesota Timberwolves,1647640.8735407793
139,Gerald Wallace,Brooklyn Nets,1615146.225780873
140,Tim Duncan,San Antonio Spurs,1600539.6459740195
141,Cuttino Mobley,LA Clippers,1554854.9376335195
142,Danilo Gallinari,Denver Nuggets,1534951.4333953552
143,Steve Nash,Los Angeles Lakers,1490236.7212804079
144,Andris Biedrins,Golden State Warriors,1395493.0742195577
145,Ryan Anderson,New Orleans Hornets,1304010.7504651644
146,Shawn Marion,Dallas Mavericks,1287981.7107796844
147,Paul Millsap,Utah Jazz,1275282.5580368168
148,Jameer Nelson,Orlando Magic,1274205.774929364
149,Rodney Stuckey,Detroit Pistons,1244745.3655847288
150,Mo Williams,Utah Jazz,1244745.3655847288
151,Devin Harris,Atlanta Hawks,1244745.3655847288
152,Kendrick Perkins,Oklahoma City Thunder,1238145.8564015056
153,Jeff Green,Boston Celtics,1211291.8647922268
154,Jeremy Lin,Houston Rockets,1208302.2470077183
155,Omer Asik,Houston Rockets,1208302.2470077183
156,Anderson Varejao,Cleveland Cavaliers,1206437.7021763488
157,Thaddeus Young,Philadelphia 76ers,1183751.5704792915
158,Marvin Williams,Utah Jazz,1183286.0631589827
159,John Salmons,Sacramento Kings,1125609.6926469575
160,Charlie Villanueva,Detroit Pistons,1119213.0108193783
161,Tyrus Thomas,Charlotte Bobcats,1102611.811729033
162,Caron Butler,LA Clippers,1102611.811729033
163,Chris Kaman,Dallas Mavericks,1102611.811729033
164,George Hill,Indiana Pacers,1102611.811729033
165,Mark Blount,Miami Heat,1093636.9717907966
166,Ersan Ilyasova,Milwaukee Bucks,1075218.79953139
167,Arron Afflalo,Orlando Magic,1034775.3428433602
168,Metta World Peace,Los Angeles Lakers,1028775.6917166288
169,Trevor Ariza,Washington Wizards,1028717.11457515
170,Marcin Gortat,Phoenix Suns,1028717.11457515
171,James Posey,Indiana Pacers,993955.2642822687
172,Marcus Thornton,Sacramento Kings,975563.7964302944
173,Mike Conley,Memphis Grizzlies,970588.2344048654
174,Goran Dragic,Phoenix Suns,969092.4126524705
175,John Wall,Washington Wizards,958763.7138313175
176,Taj Gibson,Chicago Bulls,947437.3136396527
177,Beno Udrih,Orlando Magic,936296.326924402
178,Al Harrington,Orlando Magic,880409.3784025911
179,Tayshaun Prince,Memphis Grizzlies,788234.8694443009
180,JJ Redick,Orlando Magic,784964.8542485011
181,Samuel Dalembert,Milwaukee Bucks,773047.568383037
182,Drew Gooden,Milwaukee Bucks,770472.7234511749
183,Morris Peterson,Oklahoma City Thunder,765319.8435669492
184,Andres Nocioni,Madrid Real Madrid,761878.9194404245
185,Jerome James,Chicago Bulls,750465.1643580731
186,Wesley Matthews,Portland Trail Blazers,729088.0763283027
187,Spencer Hawes,Philadelphia 76ers,727896.0788367445
188,Glen Davis,Orlando Magic,705671.5595065813
189,Channing Frye,Phoenix Suns,705671.5595065813
190,Landry Fields,Toronto Raptors,672980.8421197713
191,Mike Miller,Miami Heat,662256.2194197505
192,Francisco Garcia,Sacramento Kings,641065.3986630832
193,Luke Walton,Cleveland Cavaliers,639251.3127587519
194,Amir Johnson,Toronto Raptors,630599.2006064366
195,Michael Beasley,Phoenix Suns,620219.1440975812
196,Brandon Bass,Boston Celtics,620219.1440975812
197,Wilson Chandler,Denver Nuggets,605916.3774273999
198,James Harden,Houston Rockets,583647.8198244263
199,Jason Richardson,Philadelphia 76ers,579485.3928162256
200,Kyle Lowry,Toronto Raptors,569610.9847701744
201,Nick Young,Philadelphia 76ers,540279.7877472263
202,Chuck Hayes,Sacramento Kings,518553.83954413893
203,Sasha Vujacic,New York Knicks,516450.66437132173
204,Jarrett Jack,Golden State Warriors,502377.50671904074
205,Kyrie Irving,Cleveland Cavaliers,497877.3960719454
206,Evan Turner,Philadelphia 76ers,482680.30953070085
207,Tyreke Evans,Sacramento Kings,475004.5341572772
208,Jason Thompson,Sacramento Kings,474855.28219971055
209,Zaza Pachulia,Atlanta Hawks,474629.18755599204
210,Jamal Crawford,LA Clippers,470343.61863413965
211,Antonio McDyess,San Antonio Spurs,469443.8701674591
212,Speedy Claxton,Atlanta Hawks,467548.9452504307
213,Martell Webster,Washington Wizards,456937.8402591138
214,Anthony Davis,New Orleans Hornets,455923.38085590245
215,Brad Miller,New Orleans Pelicans,448811.52229343256
216,Brandon Roy,Minnesota Timberwolves,448108.3316105024
217,Jason Maxiell,Detroit Pistons,430707.7389566535
218,Ramon Sessions,Charlotte Bobcats,430707.7389566535
219,Andre Miller,Denver Nuggets,430707.7389566535
220,Kyle Korver,Atlanta Hawks,430707.7389566535
221,Jason Terry,Boston Celtics,430707.7389566535
222,Lou Williams,Atlanta Hawks,430707.7389566535
223,Courtney Lee,Boston Celtics,430707.7389566535
224,Richard Hamilton,Chicago Bulls,430707.7389566535
225,Robin Lopez,New Orleans Hornets,413532.353039918
226,Marcus Banks,New Orleans Pelicans,404849.5973295431
227,Nikola Pekovic,Minnesota Timberwolves,403116.66735579906
228,Darius Songaila,Philadelphia 76ers,399922.88608641725
229,Derrick Williams,Minnesota Timberwolves,398569.375397974
230,Michael Kidd-Gilchrist,Charlotte Bobcats,398569.375397974
231,Luc Mbah a Moute,Milwaukee Bucks,395980.2379722969
232,Daniel Gibson,Cleveland Cavaliers,395673.0411106057
233,Victor Oladipo,Indiana Pacers,390969.08100062027
234,Derrick Favors,Utah Jazz,389257.30518916686
235,Linas Kleiza,Toronto Raptors,364551.03025291156
236,Marcus Camby,New York Knicks,363021.2072607677
237,Luis Scola,Phoenix Suns,350193.1003724071
238,Boris Diaw,San Antonio Spurs,348873.2685548894
239,Jonas Jerebko,Detroit Pistons,348873.2685548894
240,J.J. Barea,Minnesota Timberwolves,347866.14034180966
241,Udonis Haslem,Miami Heat,324505.5475156778
242,Bradley Beal,Washington Wizards,321414.43936324166
243,Enes Kanter,Utah Jazz,321414.43936324166
244,Wesley Johnson,Phoenix Suns,316415.5556750052
245,Otto Porter Jr.,Chicago Bulls,315300.1860657432
246,Jordan Farmar,Sacramento Kings,311186.3413961822
247,Jared Dudley,Phoenix Suns,311186.3413961822
248,Marreese Speights,Memphis Grizzlies,303907.38060781476
249,Dorell Wright,Philadelphia 76ers,290456.13672386465
250,Bruce Bowen,San Antonio Spurs,289607.8836744539
251,Charlie Bell,Golden State Warriors,289596.5820136448
252,Greg Buckner,Memphis Grizzlies,286917.98010517884
253,Kirk Hinrich,Chicago Bulls,283844.68678933225
254,Steve Novak,New York Knicks,283153.5032565812
255,O.J. Mayo,Dallas Mavericks,278416.3737854042
256,Mario Chalmers,Miami Heat,275652.95293225825
257,Luke Ridnour,Minnesota Timberwolves,275652.95293225825
258,JJ Hickson,Portland Trail Blazers,275652.95293225825
259,Ian Mahinmi,Indiana Pacers,275652.95293225825
260,Anthony Morrow,Dallas Mavericks,275652.95293225825
261,Brandon Rush,Golden State Warriors,275652.95293225825
262,Carl Landry,Golden State Warriors,275652.95293225825
263,Hakim Warrick,Charlotte Bobcats,275652.95293225825
264,Steve Blake,Los Angeles Lakers,275652.95293225825
265,Ryan Gomes,Boston Celtics,275652.95293225825
266,Stephen Curry,Golden State Warriors,269995.8345834884
267,Tiago Splitter,San Antonio Spurs,267988.6982289298
268,Thabo Sefolosha,Oklahoma City Thunder,262042.58838122807
269,Tristan Thompson,Cleveland Cavaliers,261269.12648335745
270,DeMarcus Cousins,Sacramento Kings,259468.82778581764
271,Cody Zeller,Charlotte Hornets,256301.3844945214
272,Joel Anthony,Miami Heat,248776.7900213631
273,Ricky Rubio,Minnesota Timberwolves,241127.05627455036
274,Dion Waiters,Cleveland Cavaliers,239258.96836882367
275,Matt Bonner,San Antonio Spurs,227015.71221831715
276,Jordan Hill,Los Angeles Lakers,218786.52332713114
277,Ekpe Udoh,Milwaukee Bucks,214057.9390531321
278,D.J. Augustin,Indiana Pacers,211046.79208876024
279,Shannon Brown,Phoenix Suns,211046.79208876024
280,Danny Green,San Antonio Spurs,211046.79208876024
281,Chris Duhon,Los Angeles Lakers,211046.79208876024
282,Alonzo Gee,Cleveland Cavaliers,211046.79208876024
283,Gerald Green,Indiana Pacers,211046.79208876024
284,Matt Carroll,Charlotte Bobcats,211046.79208876024
285,Johan Petro,Atlanta Hawks,211046.79208876024
286,Raymond Felton,New York Knicks,208696.04240247054
287,Raja Bell,Utah Jazz,208641.7200744263
288,Jonas Valanciunas,Toronto Raptors,196199.35100268762
289,Thomas Robinson,Sacramento Kings,196199.35100268762
290,DeMar DeRozan,Toronto Raptors,192681.55300289436
291,Jan Vesely,Washington Wizards,192298.02298945628
292,Tony Allen,Memphis Grizzlies,187616.2910895183
293,Shane Battier,Miami Heat,184220.59127558404
294,Matt Barnes,LA Clippers,181974.01970918613
295,Will Bynum,Detroit Pistons,181974.01970918613
296,Corey Brewer,Denver Nuggets,181190.97581145336
297,Ray Allen,Miami Heat,179635.51620322515
298,Greg Monroe,Detroit Pistons,178372.6928261319
299,Mike Dunleavy,Milwaukee Bucks,174548.42877816828
300,Brandon Jennings,Milwaukee Bucks,174164.00897679347
301,Timofey Mozgov,Denver Nuggets,169910.6592247433
302,Shawne Williams,Minnesota Timberwolves,169323.70270829025
303,Jason Kidd,New York Knicks,164497.62249328097
304,Mirza Teletovic,Brooklyn Nets,164497.62249328097
305,Vince Carter,Dallas Mavericks,164497.62249328097
306,Damian Lillard,Portland Trail Blazers,161850.84076907174
307,Tyler Hansbrough,Indiana Pacers,160819.50859832196
308,Bismack Biyombo,Charlotte Bobcats,160257.94236096754
309,Joel Freeland,Portland Trail Blazers,156454.6649807732
310,Darrell Arthur,Memphis Grizzlies,155698.1023204638
311,Lavoy Allen,Philadelphia 76ers,155054.7860243953
312,Kosta Koufos,Denver Nuggets,155054.7860243953
313,Travis Outlaw,Sacramento Kings,155054.7860243953
314,Jerryd Bayless,Memphis Grizzlies,155054.7860243953
315,Carlos Delfino,Houston Rockets,155054.7860243953
316,Jeff Foster,Indiana Pacers,155054.7860243953
317,Austin Daye,Memphis Grizzlies,150751.49090222936
318,Al-Farouq Aminu,New Orleans Hornets,149705.82385776308
319,Alexey Shved,Minnesota Timberwolves,148369.0967559093
320,Dahntay Jones,Dallas Mavericks,144890.08338501828
321,Julian Wright,Toronto Raptors,140729.27116065397
322,Mark Madsen,Minnesota Timberwolves,138956.6535731514
323,Kwame Brown,Philadelphia 76ers,136913.53238811935
324,James Johnson,Sacramento Kings,136230.7515683964
325,JR Smith,New York Knicks,135693.1436204259
326,Harrison Barnes,Golden State Warriors,134880.91519536902
327,Kevin Seraphin,Washington Wizards,131344.3339707119
328,Eduardo Najera,Charlotte Hornets,130289.0910343877
329,Gordon Hayward,Utah Jazz,126500.28389497622
330,David Andersen,Fenerbahce Ulker Fenerbahce Ulker,124219.87602896079
331,Brandon Knight,Detroit Pistons,123615.05495141615
332,Jrue Holiday,Philadelphia 76ers,123265.68158472882
333,Josh McRoberts,Charlotte Bobcats,121168.49286747984
334,Quentin Richardson,New York Knicks,118930.99648542485
335,Eric Bledsoe,LA Clippers,118847.08875558196
336,Nick Collison,Oklahoma City Thunder,115182.94752642824
337,Greg Stiemsma,Minnesota Timberwolves,114234.46006477845
338,Aaron Gray,Toronto Raptors,114234.46006477845
339,Paul George,Indiana Pacers,114156.3947074633
340,Kemba Walker,Charlotte Bobcats,113646.08038040106
341,Terrence Ross,Toronto Raptors,113200.4931155675
342,Ty Lawson,Denver Nuggets,111546.8925615223
343,Randy Foye,Utah Jazz,107676.93473916338
344,Jason Smith,New Orleans Hornets,107676.93473916338
345,Cole Aldrich,Sacramento Kings,103031.70750465164
346,Jeff Teague,Atlanta Hawks,101989.24415837985
347,Aaron Brooks,Sacramento Kings,99235.06305561298
348,Ricky Davis,LA Clippers,99235.06305561298
349,Andre Drummond,Detroit Pistons,95655.77738267521
350,Trevor Booker,Washington Wizards,95209.74902487767
351,Jimmer Fredette,Sacramento Kings,94257.9443456688
352,Xavier Henry,New Orleans Hornets,92985.63572462271
353,Earl Watson,Utah Jazz,91137.75756322789
354,Omri Casspi,Cleveland Cavaliers,89348.12586375853
355,Anthony Parker,Cleveland Cavaliers,87218.31713872236
356,Ben Wallace,Detroit Pistons,86939.4418027703
357,DeShawn Stevenson,Atlanta Hawks,86479.50180035834
358,Austin Rivers,New Orleans Hornets,86318.23254083109
359,Rodrigue Beaubois,Dallas Mavericks,85469.85550425539
360,C.J. Miles,Cleveland Cavaliers,85290.90000689133
361,Klay Thompson,Golden State Warriors,85073.30758734753
362,Ed Davis,Memphis Grizzlies,83919.53624147199
363,Rudy Fernandez,Madrid Real Madrid,81909.09786108813
364,Meyers Leonard,Portland Trail Blazers,77907.92003307835
365,Alec Burks,Utah Jazz,76786.51618771967
366,Jeremy Lamb,Oklahoma City Thunder,76786.51618771967
367,Elton Brand,Dallas Mavericks,76013.02890910345
368,Patrick Patterson,Sacramento Kings,75742.58317138722
369,Markieff Morris,Phoenix Suns,75387.54368410172
370,Dante Cunningham,Minnesota Timberwolves,75254.97898146234
371,Wayne Ellington,Memphis Grizzlies,74754.73733312658
372,Toney Douglas,Sacramento Kings,73670.45162979809
