,Player,PG%,SG%,SF%,PF%,C%,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Quincy Acy,0.0,16,77,7,0.0,SF,23,TOT,63,0,13.4,1.0,2.2,.468,0.1,0.2,.267,1.0,2.0,.492,.482,0.6,0.8,.660,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2.7,10.1,.520,.106,.376,9.5,19.5,14.4,1.4,2.5,15.4,10.1,0.6,0.9,1.5,.086,-2.5,0.8,-1.7,0.1
1,Steven Adams,0.0,0.0,0.0,1,99,C,20,OKC,81,20,14.8,1.1,2.3,.503,0.0,0.0,0.0,1.1,2.3,.503,.503,1.0,1.7,.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,11.2,.541,.000,.735,14.1,17.1,15.6,1.7,3.9,22.5,11.7,0.9,1.9,2.9,.114,-3.1,0.9,-2.2,-0.1
2,Jeff Adrien,0.0,0.0,5,94,1,PF,27,TOT,53,12,18.1,2.7,5.2,.520,0.0,0.0,0.0,2.7,5.2,.520,.520,1.4,2.2,.639,1.9,3.8,5.8,0.7,0.5,0.7,0.7,2.0,6.8,17.4,.553,.000,.433,11.8,24.8,18.2,1.3,3.0,10.6,17.3,1.6,1.1,2.7,.134,0.0,-0.9,-0.9,0.3
3,Arron Afflalo,0.0,49,51,1,0.0,SG,28,ORL,73,73,35.0,6.4,13.8,.459,1.8,4.1,.427,4.6,9.7,.473,.522,3.8,4.6,.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,18.2,16.0,.574,.297,.332,1.4,10.2,5.8,0.7,0.1,11.2,23.3,4.3,1.0,5.3,.099,1.4,-1.6,-0.2,1.1
4,Alexis Ajinça,0.0,0.0,0.0,0.0,100,C,25,NOP,56,30,17.0,2.4,4.4,.546,0.0,0.0,.000,2.4,4.4,.548,.546,1.0,1.2,.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,5.9,14.6,.589,.004,.269,11.3,22.7,16.9,1.3,4.1,18.4,16.3,1.2,0.9,2.1,.104,-2.7,0.1,-2.6,-0.1
5,Cole Aldrich,0.0,0.0,0.0,0.0,100,C,25,NYK,46,2,7.2,0.7,1.3,.541,0.0,0.0,0.0,0.7,1.3,.541,.541,0.6,0.7,.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0,19.1,.620,.000,.492,12.8,33.8,23.0,1.3,8.1,19.5,13.0,0.6,0.6,1.2,.178,-0.1,1.6,1.5,0.3
6,LaMarcus Aldridge,0.0,0.0,0.0,89,11,PF,28,POR,69,69,36.2,9.4,20.6,.458,0.0,0.2,.200,9.4,20.4,.461,.459,4.3,5.2,.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,21.8,.507,.011,.253,7.2,25.5,16.5,1.3,1.9,7.2,29.8,4.0,3.5,7.5,.144,2.3,0.1,2.3,2.7
7,Lavoy Allen,0.0,0.0,0.0,60,40,PF,24,TOT,65,2,16.5,2.1,4.6,.447,0.0,0.2,.154,2.0,4.4,.460,.450,0.5,0.8,.660,1.8,3.0,4.8,1.1,0.4,0.5,0.7,1.9,4.7,12.5,.470,.043,.167,11.7,20.0,15.7,1.1,2.4,12.0,14.6,0.6,0.9,1.5,.066,-2.6,-0.8,-3.5,-0.4
8,Ray Allen*,0.0,61,39,0.0,0.0,SG,38,MIA,73,9,26.5,3.3,7.4,.442,1.6,4.2,.375,1.7,3.2,.530,.549,1.4,1.6,.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,9.6,12.8,.590,.569,.214,1.6,11.4,6.7,1.5,0.4,12.4,16.8,2.5,1.5,4.1,.101,0.5,-0.9,-0.4,0.8
9,Tony Allen,23,74,3,0.0,0.0,SG,32,MEM,55,28,23.2,3.7,7.5,.494,0.2,0.9,.234,3.5,6.7,.527,.507,1.4,2.2,.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9.0,15.6,.531,.114,.293,7.3,12.0,9.6,3.8,1.2,16.2,20.1,0.5,2.1,2.7,.100,-1.1,2.1,1.0,1.0
